,title,rating,price,no_of_ratings,product_url,product_description,Manufacturer,asin
0,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),4.1 out of 5 stars,1299,"51,370",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,"Laptop Compatibility, No, Strap Type, Adjustable, Trolley Support, No. With Rain Cover , No    Outer Material, Polyester, Color, Black    Water Resistance, Water resistant , not Waterproof    Capacity, 32 liters; Dimensions, 31.5 x 22 x 49.5 Centimeters    Number of Wheels, 0, Number of compartments, 3    Warranty type, Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support",RetailEZ Pvt Ltd,B07CJCGM1M
1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3 out of 5 stars,565,"9,226",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,"30L Capacity, The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer, The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design, Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India, Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty, The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material, Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",Appario Retail Private Ltd,B07CJCGM1M
2,Skybags Brat Black 46 Cms Casual Backpack,4.1 out of 5 stars,669,"3,368",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",RetailEZ Pvt Ltd,B07CJCGM1M
3,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),3.8 out of 5 stars,312,472,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM,"PACKAGE CONTAIN, 1 Piece Embroidered Party Wear Clutch    MATERIAL, Polyester, COLOR, Cream    PRODUCT DIMENSION, 27 X 17 X 1 CM    Latest stylish party wear evening clutches for women.Bag has a detachable gold polish shoulder chain.    This Clutch has a unique design and you can use it on any occasion like parties, anniversary, wedding, etc. This hand bag makes you glamorous and unique among your friends, familiar persons.",ETrade Online,B07CJCGM1M
4,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",3.9 out of 5 stars,615,"4,073",https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS,"Material, Leather    Closure Type, Zip    Strap Type, Shoulder Removable Strap; Adjustable    Multi Compartments     2 Big Zipper Pocket In The Middle, 1 Small Zipper Pocket For Your Key/Card",Fiesto fashion and Delivered by Amazon.,B07CJCGM1M
5,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",4.2 out of 5 stars,495,"1,412",https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2,"Material, PU / Synthetic Leather    Closure, Zipper    Compartment, 1, Pocket, 1    Dimensions, LxWxH - 7 x 3 x 7 inch    Ideal for Women and Girls",ADISA International,B07CJCGM1M
6,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.2 out of 5 stars,1039,"3,600",https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF,"Inner Material, Polyester; Color, Grey; Package Contents, 1 Handbag    Dimensions, HandBag, HxLxD(CM)-27x33x13; Closure Type, Zip closure with adjustable strap    Pockets, 4 Compartment and 2 Zip Pocket    Easy to carry traveling essentials like mobile phone, keys, wallet, and other accessories.; Outer Material Type, Synthetic    Occasion Type, Casual",COALESCENT INDIA,B07CJCGM1M
7,DEIN KLEIDER Men's Nylon Messenger Bag,3.9 out of 5 stars,1201,462,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,"Material, Water Resistant Light-Weight Polyester    Compartments, 2 with padding; Laptop Size, 15.6 inch and below    Dimensions, LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type, Zipper",Appario Retail Private Ltd,B07CJCGM1M
8,ADISA Light Weight Laptop Backpack 32 Ltrs,3.9 out of 5 stars,499,"2,184",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W,"HIGH QUALITY FABRIC, Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.    FRONT POCKET, Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access    MESH POCKET, Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella    COMFORT, Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps    WARRANTY, All of our bags come with 1-year International Warranty against manufacturing defects",RetailEZ Pvt Ltd,B07CJCGM1M
9,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",4.3 out of 5 stars,699,"12,104",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,"Pattern Type , Pure Color || Closure Type , Zipper || Gender , Unisex    Material , Snow Yarn Polyester Fabric || Handle/Strap Type , Soft Handle/Adjustable Shoulder Straps    Dimensions , 12.5 * 18 Inch || Capacity , 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry",Appario Retail Private Ltd,B07CJCGM1M
